Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Mekliganj,Anjali Singh,All India Trinamool Congress,44944,453,45397,26.78,169490,45397,45397,True
Mekliganj,Sanjay Reddy,Bharatiya Janata Party,33533,338,33871,19.98,169490,33871,45397,False
Mekliganj,Anita Patel,Communist Party of India (Marxist),24344,245,24589,14.51,169490,24589,45397,False
Mekliganj,Kavita Patel,Indian National Congress,7737,78,7815,4.61,169490,7815,45397,False
Mekliganj,Manoj Gogoi,None of the Above,1930,19,1949,1.15,169490,1949,45397,False
Mekliganj,Suresh Gogoi,Independent,1422,14,1436,0.85,169490,1436,45397,False
Mathabhanga,Priya Das,Bharatiya Janata Party,49329,498,49827,25.53,195182,49827,49827,True
Mathabhanga,Deepa Menon,Indian National Congress,39465,398,39863,20.42,195182,39863,49827,False
Mathabhanga,Ramesh Nair,Communist Party of India (Marxist),31777,320,32097,16.44,195182,32097,49827,False
Mathabhanga,Amit Sharma,All India Trinamool Congress,29563,298,29861,15.3,195182,29861,49827,False
Mathabhanga,Ramesh Menon,None of the Above,15307,154,15461,7.92,195182,15461,49827,False
Mathabhanga,Anita Roy,Independent,3380,34,3414,1.75,195182,3414,49827,False
Cooch Behar Uttar,Sunil Kumar,Bharatiya Janata Party,71538,722,72260,34.28,210765,72260,72260,True
Cooch Behar Uttar,Anita Patel,All India Trinamool Congress,58293,588,58881,27.94,210765,58881,72260,False
Cooch Behar Uttar,Kavita Sen,Indian National Congress,26936,272,27208,12.91,210765,27208,72260,False
Cooch Behar Uttar,Sanjay Reddy,None of the Above,15469,156,15625,7.41,210765,15625,72260,False
Cooch Behar Uttar,Sunil Bora,Communist Party of India (Marxist),8901,89,8990,4.27,210765,8990,72260,False
Cooch Behar Uttar,Amit Roy,Independent,215,2,217,0.1,210765,217,72260,False
Cooch Behar Dakshin,Ramesh Singh,Bharatiya Janata Party,75441,762,76203,36.73,207481,76203,76203,True
Cooch Behar Dakshin,Amit Kumar,Indian National Congress,37517,378,37895,18.26,207481,37895,76203,False
Cooch Behar Dakshin,Deepa Sharma,All India Trinamool Congress,31032,313,31345,15.11,207481,31345,76203,False
Cooch Behar Dakshin,Ramesh Das,None of the Above,21265,214,21479,10.35,207481,21479,76203,False
Cooch Behar Dakshin,Sanjay Menon,Communist Party of India (Marxist),2645,26,2671,1.29,207481,2671,76203,False
Cooch Behar Dakshin,Anjali Das,Independent,2481,25,2506,1.21,207481,2506,76203,False
Sitalkuchi,Suresh Patel,All India Trinamool Congress,71750,724,72474,32.39,223762,72474,72474,True
Sitalkuchi,Ramesh Patel,Bharatiya Janata Party,67179,678,67857,30.33,223762,67857,72474,False
Sitalkuchi,Deepa Kumar,Indian National Congress,18895,190,19085,8.53,223762,19085,72474,False
Sitalkuchi,Ramesh Das,None of the Above,15389,155,15544,6.95,223762,15544,72474,False
Sitalkuchi,Priya Sen,Communist Party of India (Marxist),1375,13,1388,0.62,223762,1388,72474,False
Sitalkuchi,Sunil Menon,Independent,839,8,847,0.38,223762,847,72474,False
Sitai,Suresh Das,All India Trinamool Congress,59046,596,59642,27.36,218003,59642,59642,True
Sitai,Priya Gogoi,Indian National Congress,46198,466,46664,21.41,218003,46664,59642,False
Sitai,Suresh Reddy,Communist Party of India (Marxist),25646,259,25905,11.88,218003,25905,59642,False
Sitai,Sanjay Roy,None of the Above,17343,175,17518,8.04,218003,17518,59642,False
Sitai,Rahul Nair,Bharatiya Janata Party,16625,167,16792,7.7,218003,16792,59642,False
Sitai,Anita Sharma,Independent,1028,10,1038,0.48,218003,1038,59642,False
Dinhata,Kavita Patel,All India Trinamool Congress,115855,1170,117025,48.45,241544,117025,117025,True
Dinhata,Deepa Patel,Bharatiya Janata Party,32459,327,32786,13.57,241544,32786,117025,False
Dinhata,Sanjay Kumar,None of the Above,28891,291,29182,12.08,241544,29182,117025,False
Dinhata,Suresh Reddy,Communist Party of India (Marxist),24772,250,25022,10.36,241544,25022,117025,False
Dinhata,Anjali Nair,Independent,2930,29,2959,1.23,241544,2959,117025,False
Dinhata,Anita Roy,Indian National Congress,456,4,460,0.19,241544,460,117025,False
Natabari,Kavita Gogoi,None of the Above,31837,321,32158,20.63,155908,32158,32158,True
Natabari,Amit Roy,Bharatiya Janata Party,17993,181,18174,11.66,155908,18174,32158,False
Natabari,Kavita Sharma,All India Trinamool Congress,15544,157,15701,10.07,155908,15701,32158,False
Natabari,Ramesh Patel,Indian National Congress,12406,125,12531,8.04,155908,12531,32158,False
Natabari,Priya Sharma,Communist Party of India (Marxist),11923,120,12043,7.72,155908,12043,32158,False
Natabari,Rahul Sharma,Independent,423,4,427,0.27,155908,427,32158,False
Tufanganj,Sanjay Gogoi,Bharatiya Janata Party,73252,739,73991,40.66,181964,73991,73991,True
Tufanganj,Anjali Nair,None of the Above,29321,296,29617,16.28,181964,29617,73991,False
Tufanganj,Rahul Sen,Indian National Congress,12181,123,12304,6.76,181964,12304,73991,False
Tufanganj,Amit Reddy,All India Trinamool Congress,6268,63,6331,3.48,181964,6331,73991,False
Tufanganj,Manoj Menon,Communist Party of India (Marxist),5276,53,5329,2.93,181964,5329,73991,False
Tufanganj,Amit Bora,Independent,229,2,231,0.13,181964,231,73991,False
Kumargram,Ramesh Menon,Bharatiya Janata Party,63063,636,63699,33.28,191407,63699,63699,True
Kumargram,Sunil Singh,All India Trinamool Congress,39410,398,39808,20.8,191407,39808,63699,False
Kumargram,Ramesh Sen,Communist Party of India (Marxist),33498,338,33836,17.68,191407,33836,63699,False
Kumargram,Sunil Singh,None of the Above,8439,85,8524,4.45,191407,8524,63699,False
Kumargram,Sunil Sharma,Indian National Congress,6922,69,6991,3.65,191407,6991,63699,False
Kumargram,Sunil Bora,Independent,2780,28,2808,1.47,191407,2808,63699,False
Kalchini,Ramesh Das,All India Trinamool Congress,75930,766,76696,35.58,215581,76696,76696,True
Kalchini,Rahul Sen,None of the Above,29186,294,29480,13.67,215581,29480,76696,False
